4 1 122
x0 x1 x2 x3 ang
76 24 39 1.781 26
79 21 36 1.801 27
52 48 44 1.804 25
72 29 28 1.800 28
50 51 48 1.828 25
59 41 43 1.765 25
35 65 35 1.705 26
76 24 34 1.715 26
74 27 47 1.814 25
63 37 34 1.831 27
64 37 55 1.532 23
74 26 57 1.431 22
80 21 54 1.552 23
56 44 53 1.776 26
61 39 51 1.718 24
75 25 55 1.467 22
75 25 55 1.467 22
75 25 56 1.572 24
60 40 55 1.704 26
57 43 53 1.640 24
66 34 49 1.609 26
65 35 47 1.651 25
49 51 45 1.832 26
56 44 46 1.720 25
53 47 48 1.778 24
57 43 48 1.743 25
50 50 44 1.806 27
67 33 37 1.770 27
61 39 35 1.770 24
66 34 35 1.728 23
67 33 37 1.770 27
61 39 35 1.770 24
66 34 35 1.728 23
65 35 36 1.758 27
53 48 35 1.979 26
55 45 36 1.885 27
54 46 35 1.914 27
54 46 47 1.826 26
61 39 38 1.910 26
57 43 46 1.739 24
56 44 49 1.649 26
49 51 35 1.831 29
58 43 30 1.799 29
51 49 32 1.845 29
51 49 33 1.745 30
64 36 34 1.726 21
72 28 32 1.806 24
64 36 35 1.726 21
83 17 32 1.806 24
47 53 33 1.832 24
37 63 30 1.913 26
52 48 29 1.904 25
61 39 31 1.806 25
60 40 33 1.838 24
51 49 28 1.966 27
65 35 42 1.660 26
24 76 35 1.902 26
36 64 40 1.748 24
38 62 28 1.922 28
33 67 49 1.737 23
40 60 40 1.790 24
50 50 49 1.689 24
45 55 51 1.668 25
60 40 53 1.641 25
53 47 27 1.962 27
47 53 43 1.759 27
37 63 39 1.882 25
42 58 41 1.812 25
27 73 34 1.946 28
35 65 37 1.958 28
42 58 38 1.841 26
37 63 49 1.702 28
45 55 47 1.809 27
41 59 42 1.826 28
33 67 47 1.848 28
44 56 40 1.886 25
32 68 36 1.813 28
31 69 46 1.739 26
38 62 38 1.822 27
42 58 36 1.912 27
33 67 34 1.881 30
42 58 36 1.912 27
45 55 37 1.837 24
19 81 35 1.926 27
15 85 23 2.016 29
27 73 25 2.020 27
42 58 31 1.970 28
47 53 41 1.785 28
91 9 32 2.000 28
94 6 65 1.550 23
99 1 55 1.533 19
92 8 60 1.498 18
91 9 32 2.058 34
72 28 36 1.673 23
72 28 36 1.638 22
93 7 58 1.613 21
95 5 49 1.865 29
72 28 36 1.708 24
99 1 71 1.655 23
95 5 57 2.093 35
17 83 32 2.233 39
95 5 49 1.883 29
96 4 37 1.638 22
50 50 46 1.792 26
98 2 63 1.638 22
67 33 39 1.883 29
75 25 33 1.883 29
35 65 25 1.918 30
87 14 33 1.988 32
72 28 36 1.760 26
72 28 36 1.813 27
75 25 51 1.708 24
60 40 47 1.918 30
58 42 29 1.953 31
31 69 51 1.872 29
48 53 22 1.848 28
55 45 98 1.778 26
84 16 27 2.268 40
60 40 33 1.823 27
98 2 65 1.743 25
99 1 71 1.655 23
72 28 36 1.725 25
