5 1 100
a b c d e f
3 6 7 5 3 2.25
5 6 2 9 1 2.75
2 7 0 9 3 2.25
6 0 6 2 6 1.5
1 8 7 9 2 2.25
0 2 3 7 5 0.5
9 2 2 8 9 2.75
7 3 6 1 2 2.5
9 3 1 9 4 3
7 8 4 5 0 3.75
3 6 1 0 6 2.25
3 2 0 6 1 1.25
5 5 4 7 6 2.5
5 6 9 3 7 2.75
4 5 2 5 4 2.25
7 4 4 3 0 2.75
7 8 6 8 8 3.75
4 3 1 4 9 1.75
2 0 6 8 9 0.5
2 6 6 4 9 2
5 0 4 8 7 1.25
1 7 2 7 2 2
2 6 1 0 6 2
1 5 9 4 9 1.5
0 9 1 7 7 2.25
1 1 5 9 7 0.5
7 6 7 3 6 3.25
5 6 3 9 4 2.75
8 1 2 9 3 2.25
9 0 8 8 5 2.25
0 9 6 3 8 2.25
5 6 1 1 5 2.75
9 8 4 8 1 4.25
0 3 0 4 4 0.75
4 4 7 6 3 2
1 7 5 9 6 2
2 1 7 8 5 0.75
7 4 1 8 5 2.75
9 7 5 3 8 4
8 3 1 8 9 2.75
6 4 3 3 3 2.5
8 6 0 4 8 3.5
8 8 9 7 7 4
6 4 3 0 3 2.5
0 9 2 5 4 2.25
0 5 9 4 6 1.25
9 2 2 4 7 2.75
7 5 4 8 1 3
2 8 9 3 6 2.5
8 0 2 1 0 2
5 1 1 0 8 1.5
5 0 6 4 6 1.25
2 5 8 6 2 1.75
8 4 7 2 4 3
0 6 2 9 9 1.5
0 8 1 3 1 2
1 0 3 4 0 0.25
3 9 1 9 6 3
9 3 3 8 0 3
5 6 6 4 0 2.75
0 4 6 2 6 1
7 5 6 9 8 3
7 2 8 2 9 2.25
9 6 0 2 7 3.75
6 1 3 2 1 1.75
5 9 9 1 4 3.5
9 1 0 7 5 2.5
8 7 0 4 8 3.75
0 4 2 9 6 1
1 0 4 2 2 0.25
2 0 5 5 2 0.5
9 0 2 8 3 2.25
8 0 4 0 9 2
1 9 6 2 5 2.5
4 4 9 9 3 2
6 0 5 0 2 1.5
9 4 3 5 1 3.25
7 4 3 1 4 2.75
6 9 4 2 2 3.75
6 4 1 2 8 2.5
8 9 2 8 8 4.25
8 6 8 3 8 3.5
3 3 3 8 0 1.5
4 7 6 8 9 2.75
0 6 8 7 9 1.5
0 3 3 3 7 0.75
3 2 6 5 2 1.25
6 5 8 7 9 2.75
6 0 4 1 0 1.5
4 8 7 0 8 3
6 2 4 7 9 2
3 9 2 8 3 3
0 1 7 8 9 0.25
1 5 4 9 2 1.5
5 7 4 9 9 3
4 5 9 3 5 2.25
7 0 8 1 9 1.75
9 7 8 2 5 4
3 4 9 0 2 1.75
0 1 9 6 2 0.25
