5 1 100
x b c d e f
0 6 7 5 3 0
1 6 2 9 1 0.841471
2 7 0 9 3 0.909297
3 0 6 2 6 0.14112
4 8 7 9 2 -0.756802
5 2 3 7 5 -0.958924
6 2 2 8 9 -0.279415
7 3 6 1 2 0.656987
8 3 1 9 4 0.989358
9 8 4 5 0 0.412118
10 6 1 0 6 -0.544021
11 2 0 6 1 -0.99999
12 5 4 7 6 -0.536573
13 6 9 3 7 0.420167
14 5 2 5 4 0.990607
15 4 4 3 0 0.650288
16 8 6 8 8 -0.287903
17 3 1 4 9 -0.961397
18 0 6 8 9 -0.750987
19 6 6 4 9 0.149877
20 0 4 8 7 0.912945
21 7 2 7 2 0.836656
22 6 1 0 6 -0.00885131
23 5 9 4 9 -0.84622
24 9 1 7 7 -0.905578
25 1 5 9 7 -0.132352
26 6 7 3 6 0.762558
27 6 3 9 4 0.956376
28 1 2 9 3 0.270906
29 0 8 8 5 -0.663634
30 9 6 3 8 -0.988032
31 6 1 1 5 -0.404038
32 8 4 8 1 0.551427
33 3 0 4 4 0.999912
34 4 7 6 3 0.529083
35 7 5 9 6 -0.428183
36 1 7 8 5 -0.991779
37 4 1 8 5 -0.643538
38 7 5 3 8 0.296369
39 3 1 8 9 0.963795
40 4 3 3 3 0.745113
41 6 0 4 8 -0.158623
42 8 9 7 7 -0.916522
43 4 3 0 3 -0.831775
44 9 2 5 4 0.0177019
45 5 9 4 6 0.850904
46 2 2 4 7 0.901788
47 5 4 8 1 0.123573
48 8 9 3 6 -0.768255
49 0 2 1 0 -0.953753
50 1 1 0 8 -0.262375
51 0 6 4 6 0.670229
52 5 8 6 2 0.986628
53 4 7 2 4 0.395925
54 6 2 9 9 -0.558789
55 8 1 3 1 -0.999755
56 0 3 4 0 -0.521551
57 9 1 9 6 0.436165
58 3 3 8 0 0.992873
59 6 6 4 0 0.636738
60 4 6 2 6 -0.304811
61 5 6 9 8 -0.966118
62 2 8 2 9 -0.739181
63 6 0 2 7 0.167356
64 1 3 2 1 0.920026
65 9 9 1 4 0.826829
66 1 0 7 5 -0.0265512
67 7 0 4 8 -0.85552
68 4 2 9 6 -0.897928
69 0 4 2 2 -0.114785
70 0 5 5 2 0.773891
71 0 2 8 3 0.951055
72 0 4 0 9 0.253823
73 9 6 2 5 -0.676772
74 4 9 9 3 -0.985146
75 0 5 0 2 -0.387782
76 4 3 5 1 0.566108
77 4 3 1 4 0.99952
78 9 4 2 2 0.513978
79 4 1 2 8 -0.444113
80 9 2 8 8 -0.993889
81 6 8 3 8 -0.629888
82 3 3 8 0 0.313229
83 7 6 8 9 0.968364
84 6 8 7 9 0.73319
85 3 3 3 7 -0.176076
86 2 6 5 2 -0.923458
87 5 8 7 9 -0.821818
88 0 4 1 0 0.0353983
89 8 7 0 8 0.860069
90 2 4 7 9 0.893997
91 9 2 8 3 0.105988
92 1 7 8 9 -0.779466
93 5 4 9 2 -0.948282
94 7 4 9 9 -0.245252
95 5 9 3 5 0.683262
96 0 8 1 9 0.983588
97 7 8 2 5 0.379608
98 4 9 0 2 -0.573382
99 1 9 6 2 -0.999207
