5 1 100
a b c d e f
3 6 7 5 3 8
5 6 2 9 1 3
2 7 0 9 3 -3
6 0 6 2 6 4
1 8 7 9 2 5
0 2 3 7 5 -7
9 2 2 8 9 -4
7 3 6 1 2 13
9 3 1 9 4 0
7 8 4 5 0 14
3 6 1 0 6 4
3 2 0 6 1 -2
5 5 4 7 6 1
5 6 9 3 7 10
4 5 2 5 4 2
7 4 4 3 0 12
7 8 6 8 8 5
4 3 1 4 9 -5
2 0 6 8 9 -9
2 6 6 4 9 1
5 0 4 8 7 -6
1 7 2 7 2 1
2 6 1 0 6 3
1 5 9 4 9 2
0 9 1 7 7 -4
1 1 5 9 7 -9
7 6 7 3 6 11
5 6 3 9 4 1
8 1 2 9 3 -1
9 0 8 8 5 4
0 9 6 3 8 4
5 6 1 1 5 6
9 8 4 8 1 12
0 3 0 4 4 -5
4 4 7 6 3 6
1 7 5 9 6 -2
2 1 7 8 5 -3
7 4 1 8 5 -1
9 7 5 3 8 10
8 3 1 8 9 -5
6 4 3 3 3 7
8 6 0 4 8 2
8 8 9 7 7 11
6 4 3 0 3 10
0 9 2 5 4 2
0 5 9 4 6 4
9 2 2 4 7 2
7 5 4 8 1 7
2 8 9 3 6 10
8 0 2 1 0 9
5 1 1 0 8 -1
5 0 6 4 6 1
2 5 8 6 2 7
8 4 7 2 4 13
0 6 2 9 9 -10
0 8 1 3 1 5
1 0 3 4 0 0
3 9 1 9 6 -2
9 3 3 8 0 7
5 6 6 4 0 13
0 4 6 2 6 2
7 5 6 9 8 1
7 2 8 2 9 6
9 6 0 2 7 6
6 1 3 2 1 7
5 9 9 1 4 18
9 1 0 7 5 -2
8 7 0 4 8 3
0 4 2 9 6 -9
1 0 4 2 2 1
2 0 5 5 2 0
9 0 2 8 3 0
8 0 4 0 9 3
1 9 6 2 5 9
4 4 9 9 3 5
6 0 5 0 2 9
9 4 3 5 1 10
7 4 3 1 4 9
6 9 4 2 2 15
6 4 1 2 8 1
8 9 2 8 8 3
8 6 8 3 8 11
3 3 3 8 0 1
4 7 6 8 9 0
0 6 8 7 9 -2
0 3 3 3 7 -4
3 2 6 5 2 4
6 5 8 7 9 3
6 0 4 1 0 9
4 8 7 0 8 11
6 2 4 7 9 -4
3 9 2 8 3 3
0 1 7 8 9 -9
1 5 4 9 2 -1
5 7 4 9 9 -2
4 5 9 3 5 10
7 0 8 1 9 5
9 7 8 2 5 17
3 4 9 0 2 14
0 1 9 6 2 2
