/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 3: 
(/(cos(sqrt(-(*(sqrt(0.71728))(-(+(+(+(x1)(x1))(cos(cos(sin(cos(*(0.68526)(+(/(x1)(cos(0.57677)))(sqrt(0.95315)))))))))(x1))(x1)))(0.63762))))(x1)) | Numero de nos: 30 | Erro: 434176633339904.0000000000000000000000000 |
(+(cos(*(sin(sin(/(/(cos(sqrt(x1)))(cos(cos(0.17469))))(sin(sqrt(-(cos(cos(-(x1)(-(sqrt(+(x1)(x1)))(cos(x1))))))(x1)))))))(0.29981)))(0.17652)) | Numero de nos: 30 | Erro: 434176297795584.0000000000000000000000000 |
(/(sqrt(0.96335))(x1)) | Numero de nos: 4 | Erro: 434176633339904.0000000000000000000000000 |
(-(x1)(cos(/(*(0.77779)(0.66417))(0.33021)))) | Numero de nos: 8 | Erro: 434176901775360.0000000000000000000000000 |
(sin(+(*(+(sin(cos(*(x1)(0.27268))))(-(x1)(x1)))(/(x1)(+(-(*(sqrt(*(cos(x1))(sqrt(-(0.12641)(0.92035)))))(0.48085))(sqrt(0.07685)))(x1))))(x1))) | Numero de nos: 30 | Erro: 434176633339904.0000000000000000000000000 |
(sin(+(sqrt(x1))(sqrt(0.57134)))) | Numero de nos: 6 | Erro: 434176398458880.0000000000000000000000000 |
(sqrt(sqrt(cos(0.94513)))) | Numero de nos: 4 | Erro: 434176364904448.0000000000000000000000000 |
(*(/(sin(x1))(sqrt(x1)))(sqrt(/(x1)(x1)))) | Numero de nos: 10 | Erro: 434176633339904.0000000000000000000000000 |
(sqrt(*(/(x1)(x1))(cos(x1)))) | Numero de nos: 7 | Erro: 434176432013312.0000000000000000000000000 |
(*(-(-(x1)(x1))(sqrt(0.09601)))(*(sin(0.02792))(+(0.82665)(x1)))) | Numero de nos: 13 | Erro: 434176599785472.0000000000000000000000000 |

MELHOR: (+(cos(*(sin(sin(/(/(cos(sqrt(x1)))(cos(cos(0.17469))))(sin(sqrt(-(cos(cos(-(x1)(-(sqrt(cos(sin(0.02469))))(cos(x1))))))(x1)))))))(0.29981)))(0.17652)) | Numero de nos: 30 | Erro: 434176297795584.0000000000000000000000000 |
MELHOR: (sqrt(-(sqrt(+(cos(*(*(0.68877)(sin(sqrt(cos(-(-(sqrt(+(cos(x1))(x1)))(sqrt(/(+(/(0.69680)(x1))(x1))(x1))))(x1))))))(x1)))(0.68517)))(x1))) | Numero de nos: 30 | Erro: 434175660261376.0000000000000000000000000 |
MELHOR: (sqrt(-(sqrt(/(0.97900)(0.14521)))(x1))) | Numero de nos: 7 | Erro: 434175626706944.0000000000000000000000000 |
MELHOR: (sqrt(-(sqrt(/(0.97900)(0.14521)))(x1))) | Numero de nos: 7 | Erro: 434175626706944.0000000000000000000000000 |
MELHOR: (sqrt(-(sqrt(/(/(+(/(0.69680)(x1))(x1))(x1))(0.14521)))(x1))) | Numero de nos: 13 | Erro: 434175626706944.0000000000000000000000000 |
MELHOR: (sqrt(-(-(sqrt(x1))(x1))(x1))) | Numero de nos: 7 | Erro: 434175324717056.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(*(0.68877)(sin(sqrt(cos(-(-(sqrt(+(x1)(x1)))(sqrt(/(+(sqrt(sqrt(x1)))(x1))(x1))))(x1))))))(x1))(x1))(x1))) | Numero de nos: 27 | Erro: 434175492489216.0000000000000000000000000 |
MELHOR: (sqrt(-(-(-(+(*(sqrt(x1))(x1))(0.76727))(+(cos(x1))(sin(x1))))(sqrt(/(+(sqrt(-(-(x1)(sin(0.16404)))(x1)))(0.57216))(0.72744))))(x1))) | Numero de nos: 28 | Erro: 434174653628416.0000000000000000000000000 |
MELHOR: (sqrt(-(-(-(+(*(sqrt(x1))(x1))(0.76727))(+(cos(x1))(sin(x1))))(sqrt(/(+(sqrt(-(-(x1)(sin(0.16404)))(x1)))(0.57216))(0.72744))))(x1))) | Numero de nos: 28 | Erro: 434174653628416.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(*(0.49245)(sin(sqrt(cos(-(-(sqrt(0.68877))(*(x1)(sin(*(*(x1)(-(sin(sin(sqrt(x1))))(0.26264)))(x1)))))(x1))))))(x1))(x1))(x1))) | Numero de nos: 30 | Erro: 434175425380352.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(*(0.68877)(sin(sqrt(cos(-(-(sqrt(0.68877))(*(0.68517)(sin(*(sqrt(cos(0.97119)))(x1)))))(x1))))))(x1))(x1))(x1))) | Numero de nos: 25 | Erro: 434175458934784.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(*(0.68877)(+(0.03766)(x1)))(x1))(x1))(x1))) | Numero de nos: 12 | Erro: 434167909187584.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(*(0.68877)(+(0.03766)(x1)))(x1))(x1))(x1))) | Numero de nos: 12 | Erro: 434167909187584.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(*(0.68877)(sin(sqrt(cos(-(-(sqrt(0.68877))(*(x1)(0.97119)))(*(sqrt(cos(0.97119)))(x1)))))))(sqrt(x1)))(x1))(x1))) | Numero de nos: 25 | Erro: 434175324717056.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(*(+(0.44511)(*(x1)(0.49745)))(sin(sqrt(cos(-(-(sqrt(0.68877))(*(x1)(0.97119)))(*(sqrt(cos(0.97119)))(x1)))))))(sqrt(x1)))(x1))(x1))) | Numero de nos: 29 | Erro: 434175022727168.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(*(/(x1)(0.34013))(sin(sqrt(cos(-(-(sqrt(0.68877))(*(x1)(0.97119)))(x1))))))(sqrt(x1)))(x1))(x1))) | Numero de nos: 23 | Erro: 434173680549888.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(*(-(sqrt(0.68877))(*(0.24940)(0.97119)))(x1))(sqrt(*(x1)(0.97119))))(x1))(x1))) | Numero de nos: 18 | Erro: 434174552965120.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(-(*(*(sqrt(*(0.24940)(0.97119)))(sin(sqrt(cos(-(-(sqrt(0.68877))(*(0.24940)(0.97119)))(x1))))))(sqrt(x1)))(x1))(sqrt(x1)))(x1))(x1))) | Numero de nos: 29 | Erro: 434175056281600.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(-(*(*(sqrt(*(0.24940)(0.97119)))(sin(sqrt(cos(-(-(sqrt(0.68877))(*(0.24940)(0.97119)))(x1))))))(sqrt(x1)))(x1))(sqrt(x1)))(x1))(x1))) | Numero de nos: 29 | Erro: 434175056281600.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(*(*(sqrt(*(0.24940)(0.97119)))(sin(sqrt(cos(sin(-(cos(+(-(sqrt(0.04260))(x1))(x1)))(0.63256)))))))(x1))(sqrt(*(x1)(0.97119))))(x1))(x1))) | Numero de nos: 30 | Erro: 434175022727168.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(-(+(sqrt(0.03265))(x1))(cos(+(*(+(sqrt(/(sin(cos(/(sqrt(sqrt(0.75311)))(x1))))(x1)))(x1))(0.39827))(x1))))(sqrt(x1)))(x1))(x1))) | Numero de nos: 30 | Erro: 434174150311936.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(-(+(sqrt(0.03265))(x1))(cos(+(*(+(sqrt(/(sin(cos(/(sqrt(sqrt(0.75311)))(x1))))(x1)))(x1))(0.39827))(x1))))(sqrt(x1)))(x1))(x1))) | Numero de nos: 30 | Erro: 434174150311936.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(-(+(sqrt(0.03265))(x1))(cos(+(*(+(sqrt(/(sin(cos(/(sqrt(sqrt(x1)))(x1))))(x1)))(x1))(0.39827))(x1))))(sqrt(x1)))(x1))(x1))) | Numero de nos: 30 | Erro: 434174150311936.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(-(+(sqrt(x1))(x1))(cos(+(*(+(sqrt(/(sin(cos(/(sqrt(sqrt(0.75311)))(x1))))(0.97119)))(x1))(0.39827))(x1))))(sqrt(x1)))(x1))(x1))) | Numero de nos: 30 | Erro: 434173948985344.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(-(+(sqrt(x1))(x1))(cos(+(*(+(sqrt(/(sin(cos(/(+(0.45195)(0.85266))(x1))))(0.97119)))(x1))(0.39827))(x1))))(sqrt(x1)))(x1))(x1))) | Numero de nos: 30 | Erro: 434173948985344.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(-(+(sqrt(x1))(x1))(cos(+(*(+(sqrt(/(sin(cos(/(+(0.45195)(0.85266))(0.31547))))(0.97119)))(x1))(0.39827))(x1))))(sqrt(x1)))(x1))(x1))) | Numero de nos: 30 | Erro: 434173948985344.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(-(+(x1)(x1))(cos(+(*(+(sqrt(/(sin(cos(/(sqrt(sqrt(x1)))(x1))))(x1)))(x1))(0.03265))(x1))))(sqrt(x1)))(x1))(x1))) | Numero de nos: 29 | Erro: 434173881876480.0000000000000000000000000 |
MELHOR: (sqrt(-(-(*(-(+(sqrt(x1))(x1))(cos(+(*(+(sqrt(/(sin(cos(/(sqrt(sqrt(x1)))(x1))))(x1)))(x1))(x1))(x1))))(sqrt(x1)))(x1))(x1))) | Numero de nos: 30 | Erro: 434173948985344.0000000000000000000000000 |
MELHOR: (*(-(+(*(*(sqrt(x1))(cos(sqrt(sin(sin(x1))))))(sin(-(0.46297)(+(cos(cos(x1)))(x1)))))(x1))(cos(+(*(0.65044)(0.39827))(x1))))(sqrt(x1))) | Numero de nos: 29 | Erro: 434149219368960.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(x1))(x1))(cos(+(*(+(sqrt(x1))(x1))(x1))(x1))))(sqrt(x1)))(x1))(cos(+(*(0.65044)(0.39827))(x1))))(sqrt(x1))) | Numero de nos: 29 | Erro: 433908130775040.0000000000000000000000000 |
MELHOR: (*(-(+(*(-(+(sqrt(x1))(x1))(cos(+(*(x1)(x1))(x1))))(sqrt(x1)))(x1))(cos(+(*(0.65044)(0.39827))(x1))))(sqrt(x1))) | Numero de nos: 26 | Erro: 433910546694144.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(0.03265))(x1))(cos(-(sqrt(x1))(x1))))(sqrt(x1)))(x1))(0.39827))(cos(+(*(0.65044)(0.39827))(+(sqrt(x1))(x1)))))(x1)) | Numero de nos: 29 | Erro: 432983907500032.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(0.03265))(x1))(cos(-(sqrt(x1))(x1))))(sqrt(x1)))(x1))(0.39827))(cos(+(*(0.65044)(0.39827))(+(sqrt(x1))(x1)))))(x1)) | Numero de nos: 29 | Erro: 432983907500032.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(x1))(x1))(cos(-(sqrt(x1))(x1))))(sqrt(x1)))(x1))(sqrt(0.39827)))(cos(+(*(0.65044)(0.39827))(+(sqrt(x1))(x1)))))(x1)) | Numero de nos: 30 | Erro: 432781943373824.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(x1))(x1))(cos(-(sqrt(x1))(x1))))(sqrt(x1)))(x1))(0.09925))(cos(+(*(0.65044)(0.39827))(+(sqrt(x1))(x1)))))(x1)) | Numero de nos: 29 | Erro: 432782178254848.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(x1)(x1))(cos(-(sqrt(x1))(x1))))(sqrt(x1)))(x1))(0.39827))(cos(+(*(0.65044)(0.39827))(+(sqrt(sqrt(0.39827)))(x1)))))(x1)) | Numero de nos: 29 | Erro: 431364067295232.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(0.03265))(x1))(cos(-(sqrt(x1))(x1))))(sqrt(x1)))(0.65044))(0.39827))(cos(+(+(0.09497)(x1))(+(sqrt(0.32481))(x1)))))(x1)) | Numero de nos: 29 | Erro: 432536861802496.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(0.03265))(x1))(cos(-(0.39827)(x1))))(sqrt(x1)))(0.65044))(0.39827))(cos(+(+(0.09497)(x1))(+(sqrt(0.32481))(x1)))))(x1)) | Numero de nos: 28 | Erro: 432537868435456.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(0.03265))(x1))(0.51640))(sqrt(x1)))(x1))(x1))(cos(cos(*(cos(0.96106))(sqrt(cos(0.03974)))))))(x1)) | Numero de nos: 24 | Erro: 433448636383232.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(0.03265))(x1))(0.51640))(sqrt(x1)))(x1))(x1))(cos(cos(*(cos(0.96106))(sqrt(cos(0.03974)))))))(x1)) | Numero de nos: 24 | Erro: 433448636383232.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(0.03265))(x1))(cos(sqrt(0.57350))))(sqrt(x1)))(x1))(x1))(cos(cos(*(cos(0.96106))(sqrt(cos(0.03974)))))))(x1)) | Numero de nos: 26 | Erro: 433454239973376.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(0.03265))(x1))(cos(sqrt(0.57350))))(sqrt(x1)))(x1))(x1))(cos(cos(*(cos(0.96106))(sqrt(cos(0.03974)))))))(x1)) | Numero de nos: 26 | Erro: 433454239973376.0000000000000000000000000 |
MELHOR: (*(-(-(-(*(-(+(sqrt(0.03265))(x1))(cos(sqrt(0.57350))))(sqrt(x1)))(x1))(x1))(cos(cos(*(cos(+(x1)(x1)))(sqrt(cos(0.03974)))))))(x1)) | Numero de nos: 28 | Erro: 433454172864512.0000000000000000000000000 |
