/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 4: 
(sqrt(0.82885)) | Numero de nos: 2 | Erro: 434176364904448.0000000000000000000000000 |
(0.52934) | Numero de nos: 1 | Erro: 434176532676608.0000000000000000000000000 |
(+(x1)(*(x1)(0.16056))) | Numero de nos: 5 | Erro: 434177002438656.0000000000000000000000000 |
(0.73739) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(/(sin(+(/(0.31492)(x1))(sin(-(sqrt(*(*(-(x1)(sqrt(+(x1)(cos(0.72622)))))(*(x1)(+(-(sqrt(0.80004))(x1))(cos(x1)))))(0.09299)))(0.27595)))))(0.86294)) | Numero de nos: 30 | Erro: 434176566231040.0000000000000000000000000 |
(sqrt(cos(sin(0.53218)))) | Numero de nos: 4 | Erro: 434176364904448.0000000000000000000000000 |
(/(cos(+(0.24342)(0.05286)))(/(+(x1)(0.49669))(sin(x1)))) | Numero de nos: 11 | Erro: 434176633339904.0000000000000000000000000 |
(sqrt(cos(+(x1)(x1)))) | Numero de nos: 5 | Erro: 434176364904448.0000000000000000000000000 |
(sin(cos(cos(0.25236)))) | Numero de nos: 4 | Erro: 434176532676608.0000000000000000000000000 |
(+(+(cos(0.34956))(sqrt(x1)))(/(-(x1)(x1))(sqrt(0.35099)))) | Numero de nos: 12 | Erro: 434175324717056.0000000000000000000000000 |

MELHOR: (+(+(cos(0.34956))(cos(cos(/(-(-(*(*(/(-(x1)(sqrt(sqrt(x1))))(+(x1)(0.64248)))(0.62529))(0.41807))(x1))(x1))(x1)))))(/(-(x1)(x1))(0.82885))) | Numero de nos: 30 | Erro: 434176096468992.0000000000000000000000000 |
MELHOR: (+(+(cos(0.34956))(sqrt(/(0.52165)(sin(*(sqrt(*(x1)(-(*(cos(/(+(*(x1)(x1))(0.14579))(0.08213)))(x1))(x1))))(0.04395))))))(/(sin(0.64415))(x1))) | Numero de nos: 29 | Erro: 434175391825920.0000000000000000000000000 |
MELHOR: (+(+(cos(0.34956))(sqrt(/(0.52165)(sin(*(sqrt(*(x1)(-(*(cos(/(+(*(0.51234)(x1))(0.14579))(0.08213)))(x1))(x1))))(0.04395))))))(/(sin(0.64415))(x1))) | Numero de nos: 29 | Erro: 434175391825920.0000000000000000000000000 |
MELHOR: (*(sin(0.80727))(sqrt(sqrt(/(0.03146)(-(sqrt(/(x1)(x1)))(cos(sin(*(sin(0.08850))(-(sqrt(sin(sin(-(cos(0.87329))(sqrt(-(cos(0.32954))(0.65606)))))))(0.60347)))))))))) | Numero de nos: 30 | Erro: 434176096468992.0000000000000000000000000 |
MELHOR: (*(sin(0.80727))(sqrt(sqrt(/(0.45436)(-(sqrt(/(x1)(x1)))(cos(sin(*(sin(0.08850))(-(sqrt(sin(sin(-(cos(0.87329))(sqrt(-(cos(0.32954))(0.65606)))))))(0.60347)))))))))) | Numero de nos: 30 | Erro: 434175358271488.0000000000000000000000000 |
MELHOR: (*(sin(0.80727))(sqrt(sqrt(/(0.45436)(-(sqrt(/(x1)(x1)))(cos(sin(*(sin(0.08850))(-(sqrt(sin(sin(-(cos(0.87329))(sqrt(-(cos(0.08850))(0.65606)))))))(0.60347)))))))))) | Numero de nos: 30 | Erro: 434175492489216.0000000000000000000000000 |
MELHOR: (*(sin(0.51631))(sqrt(sqrt(/(0.45436)(-(sqrt(/(x1)(x1)))(cos(sin(*(sin(0.08850))(-(sqrt(sin(sin(-(cos(0.42219))(sqrt(-(cos(0.08850))(0.65606)))))))(0.60347)))))))))) | Numero de nos: 30 | Erro: 434174485856256.0000000000000000000000000 |
