/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 10 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 100 	 MUTACAO   : 0.50
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 9: 
(cos(sin(sin(sqrt(x1))))) | Numero de nos: 5 | Erro: 434176398458880.0000000000000000000000000 |
(cos(+(+(-(-(sin(/(sin(+(x1)(sqrt(sqrt(/(sqrt(sin(sin(0.78484))))(/(*(-(x1)(0.58400))(sqrt(x1)))(x1)))))))(0.28434)))(x1))(x1))(0.71270))(x1))) | Numero de nos: 30 | Erro: 434176633339904.0000000000000000000000000 |
(cos(cos(-(+(+(sin(*(-(sqrt(sqrt(sin(sin(+(cos(cos(0.38237)))(x1))))))(*(-(sin(0.65526))(cos(/(x1)(0.96808))))(0.85873)))(x1)))(x1))(x1))(0.67952)))) | Numero de nos: 30 | Erro: 434176532676608.0000000000000000000000000 |
(*(0.70247)(x1)) | Numero de nos: 3 | Erro: 434176801112064.0000000000000000000000000 |
(*(sqrt(sqrt(cos(sin(-(+(x1)(cos(cos(+(*(0.42253)(-(-(-(sqrt(-(sqrt(-(sqrt(0.02399))(0.41221)))(0.77673)))(0.88522))(0.02017))(x1)))(x1)))))(0.61272))))))(x1)) | Numero de nos: 30 | Erro: 434176968884224.0000000000000000000000000 |
(sqrt(/(-(0.87023)(0.10114))(-(0.96478)(x1)))) | Numero de nos: 8 | Erro: 434176499122176.0000000000000000000000000 |
(cos(sin(/(0.10941)(0.29020)))) | Numero de nos: 5 | Erro: 434176364904448.0000000000000000000000000 |
(sin(cos(sin(0.35588)))) | Numero de nos: 4 | Erro: 434176398458880.0000000000000000000000000 |
(*(-(-(x1)(x1))(/(x1)(0.02634)))(cos(+(0.61898)(x1)))) | Numero de nos: 12 | Erro: 434182706692096.0000000000000000000000000 |
(-(*(sin(x1))(sin(0.12516)))(-(-(0.65825)(x1))(*(x1)(x1)))) | Numero de nos: 13 | Erro: 433730527166464.0000000000000000000000000 |

MELHOR: (-(*(sin(x1))(sin(0.12516)))(-(-(0.65825)(sin(sin(sqrt(x1)))))(*(x1)(x1)))) | Numero de nos: 16 | Erro: 433730057404416.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(sin(x1)))(-(-(0.65825)(sin(sin(sqrt(x1)))))(*(x1)(x1)))) | Numero de nos: 16 | Erro: 433729956741120.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(sin(0.12516)))(-(-(0.65825)(sin(cos(/(cos(cos(*(cos(/(+(*(cos(x1))(0.71987))(x1))(x1)))(sqrt(x1)))))(x1)))))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433729956741120.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(sin(0.12516)))(-(-(x1)(sin(cos(/(cos(cos(*(*(x1)(sqrt(sin(x1))))(sqrt(x1)))))(x1)))))(*(x1)(x1)))) | Numero de nos: 26 | Erro: 433729453424640.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(-(0.11975)(0.86367)))(-(-(0.65825)(sin(cos(/(cos(cos(*(cos(/(sin(x1))(x1)))(*(cos(x1))(0.71987)))))(x1)))))(*(x1)(x1)))) | Numero de nos: 29 | Erro: 433729923186688.0000000000000000000000000 |
MELHOR: (-(*(sin(0.32597))(sin(0.12516)))(-(-(x1)(sin(cos(/(cos(cos(*(cos(/(+(*(cos(sin(x1)))(0.71987))(x1))(x1)))(x1))))(x1)))))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433729386315776.0000000000000000000000000 |
MELHOR: (-(*(sin(0.32597))(sin(0.12516)))(-(-(x1)(sin(cos(/(cos(+(sin(*(cos(cos(-(sin(*(x1)(0.37400)))(0.81887))))(x1)))(x1)))(x1)))))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433729386315776.0000000000000000000000000 |
MELHOR: (-(-(/(0.58928)(sin(0.05377)))(0.30738))(-(-(x1)(sin(cos(/(cos(cos(*(cos(/(-(x1)(/(cos(x1))(x1)))(0.82186)))(x1))))(x1)))))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433726802624512.0000000000000000000000000 |
MELHOR: (-(-(/(0.58928)(sin(0.05377)))(0.30738))(-(-(x1)(sin(cos(/(cos(cos(*(cos(/(x1)(*(-(0.79040)(sin(x1)))(x1))))(x1))))(x1)))))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433726802624512.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(0.78259))(cos(*(sin(0.32597))(sin(0.12516))))))(0.95587)))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433721937231872.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(x1))(cos(*(sin(0.32597))(sin(0.12516))))))(0.95587)))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433721937231872.0000000000000000000000000 |
MELHOR: (-(*(sin(0.12516))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(x1))(cos(*(sin(0.32597))(sin(0.12516))))))(0.95587)))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433673316859904.0000000000000000000000000 |
MELHOR: (-(*(cos(0.17060))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(x1))(cos(*(sin(0.32597))(sin(0.12516))))))(0.95587)))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433289185722368.0000000000000000000000000 |
MELHOR: (-(*(sin(0.12516))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(x1))(cos(*(sin(0.32597))(sin(0.08664))))))(x1)))(x1))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433673920839680.0000000000000000000000000 |
MELHOR: (-(*(sin(0.12516))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(x1))(cos(*(sqrt(x1))(sin(0.08664))))))(0.95587)))(x1))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433673920839680.0000000000000000000000000 |
MELHOR: (-(*(sin(0.12516))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(x1))(cos(*(sqrt(x1))(sin(0.08664))))))(0.02973)))(x1))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433673920839680.0000000000000000000000000 |
MELHOR: (-(*(sin(0.47661))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(x1))(cos(*(sin(0.32597))(sin(0.08664))))))(0.95587)))(x1))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433524838498304.0000000000000000000000000 |
MELHOR: (-(*(sin(0.47661))(*(x1)(x1)))(-(-(x1)(/(/(sqrt(+(sqrt(*(cos(x1))(cos(*(sin(0.32597))(sin(0.08664))))))(0.95587)))(x1))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433524838498304.0000000000000000000000000 |
MELHOR: (-(*(sin(0.51787))(*(x1)(x1)))(-(-(0.77407)(/(/(sqrt(*(-(sqrt(/(/(-(0.67006)(0.06824))(0.92825))(x1)))(0.08136))(0.61296)))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433509067915264.0000000000000000000000000 |
MELHOR: (-(*(sin(0.51787))(*(x1)(x1)))(-(-(0.77407)(/(/(sqrt(*(-(sqrt(/(/(-(0.67006)(0.06824))(0.92825))(x1)))(0.08136))(0.61296)))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433509067915264.0000000000000000000000000 |
MELHOR: (-(*(sin(0.51787))(*(x1)(x1)))(-(-(0.77407)(/(/(sqrt(*(-(x1)(0.08136))(0.61296)))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 23 | Erro: 433507826401280.0000000000000000000000000 |
MELHOR: (-(*(sin(0.51787))(*(x1)(x1)))(*(*(0.35466)(-(*(x1)(x1))(x1)))(+(/(x1)(0.39253))(cos(sqrt(sqrt(-(/(0.11496)(0.48585))(x1)))))))) | Numero de nos: 27 | Erro: 432698090848256.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(*(x1)(x1)))(-(+(+(-(/(sqrt(0.34675))(*(-(0.24192)(cos(sqrt(cos(0.43400)))))(x1)))(x1))(0.73720))(sin(0.40761)))(*(x1)(x1)))) | Numero de nos: 29 | Erro: 433723614953472.0000000000000000000000000 |
MELHOR: (-(*(x1)(*(/(x1)(x1))(x1)))(-(-(0.77407)(/(/(sqrt(0.14368))(0.51787))(0.98379)))(*(x1)(x1)))) | Numero de nos: 20 | Erro: 433283615686656.0000000000000000000000000 |
MELHOR: (-(*(x1)(*(/(x1)(x1))(x1)))(-(-(0.77407)(/(/(sqrt(0.14368))(0.51787))(x1)))(*(x1)(x1)))) | Numero de nos: 20 | Erro: 433283951230976.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(*(x1)(x1)))(-(+(+(-(/(sqrt(0.34675))(*(-(0.24192)(cos(sqrt(cos(0.43400)))))(0.27854)))(x1))(0.89056))(sin(0.40761)))(*(x1)(x1)))) | Numero de nos: 29 | Erro: 433722172112896.0000000000000000000000000 |
MELHOR: (-(*(sin(x1))(*(x1)(x1)))(-(+(+(-(/(sqrt(0.34675))(*(-(0.24192)(cos(sqrt(x1))))(0.27854)))(x1))(0.89056))(sin(0.40761)))(*(x1)(x1)))) | Numero de nos: 28 | Erro: 433722440548352.0000000000000000000000000 |
MELHOR: (-(*(cos(0.98196))(*(x1)(x1)))(-(+(+(-(/(sqrt(0.34675))(*(-(x1)(cos(sqrt(/(x1)(0.73720)))))(x1)))(x1))(0.73720))(sin(0.40761)))(*(x1)(x1)))) | Numero de nos: 30 | Erro: 433482694131712.0000000000000000000000000 |
