/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 2: 
(/(*(+(0.89981)(+(x1)(-(-(x1)(-(-(x1)(+(0.54411)(0.92675)))(x1)))(0.33689))))(-(0.21873)(/(x1)(x1))))(+(0.22925)(+(/(x1)(0.56728))(x1)))) | Numero de nos: 29 | Erro: 434176734003200.0000000000000000000000000 |
(*(/(x1)(*(x1)(x1)))(0.65651)) | Numero de nos: 7 | Erro: 434176633339904.0000000000000000000000000 |
(0.52122) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(-(*(+(+(/(x1)(*(0.15619)(-(/(0.07682)(+(x1)(-(x1)(*(x1)(*(-(x1)(0.04971))(-(0.45039)(x1)))))))(x1))))(0.10929))(x1))(0.56716))(x1)) | Numero de nos: 29 | Erro: 434177337982976.0000000000000000000000000 |
(/(x1)(-(/(-(/(/(0.91153)(+(*(/(+(/(/(0.82098)(*(-(0.09861)(0.53453))(x1)))(0.83935))(0.82571))(x1))(x1))(0.35829)))(x1))(0.25175))(0.31327))(x1))) | Numero de nos: 29 | Erro: 434176801112064.0000000000000000000000000 |
(0.03168) | Numero de nos: 1 | Erro: 434176633339904.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(*(/(-(*(-(0.75375)(x1))(*(/(0.56319)(/(0.06400)(*(0.75924)(x1))))(/(-(x1)(+(x1)(0.51378)))(+(x1)(-(0.41508)(0.13672))))))(0.96454))(x1))(0.47429)) | Numero de nos: 29 | Erro: 434176163577856.0000000000000000000000000 |
(/(-(*(x1)(*(0.76067)(x1)))(x1))(-(+(0.84765)(/(/(0.69237)(/(-(*(x1)(*(x1)(+(-(x1)(x1))(x1))))(0.79778))(0.08908)))(0.64205)))(0.93658))) | Numero de nos: 29 | Erro: 438010831175680.0000000000000000000000000 |
(0.59709) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(/(+(*(x1)(x1))(*(x1)(-(/(/(x1)(+(x1)(*(-(-(+(+(x1)(*(0.71917)(0.00375)))(x1))(x1))(x1))(0.95633))))(x1))(0.32417))))(0.21589)) | Numero de nos: 29 | Erro: 432108573032448.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(/(+(x1)(*(0.83178)(/(/(/(0.67885)(0.54482))(-(/(0.17392)(0.64327))(x1)))(0.95398))))(0.38246)) | Numero de nos: 17 | Erro: 434177572864000.0000000000000000000000000 |
(-(*(-(0.20957)(*(-(0.07212)(x1))(-(-(*(+(-(/(+(/(*(0.99496)(x1))(0.85430))(x1))(x1))(0.16254))(x1))(x1))(x1))(0.35197))))(0.91079))(0.05527)) | Numero de nos: 29 | Erro: 434999320903680.0000000000000000000000000 |
(/(0.43696)(0.24592)) | Numero de nos: 3 | Erro: 434176096468992.0000000000000000000000000 |
(*(+(-(0.41044)(+(/(*(0.94815)(-(0.89874)(x1)))(+(x1)(+(0.90499)(x1))))(+(+(0.11832)(x1))(0.91498))))(+(*(*(x1)(x1))(x1))(0.68447)))(0.41185)) | Numero de nos: 29 | Erro: 434673708695552.0000000000000000000000000 |
(*(+(/(+(+(/(*(-(+(x1)(0.05924))(/(+(/(/(0.98273)(/(x1)(x1)))(0.45787))(0.68242))(0.37465)))(0.02606))(x1))(x1))(0.23997))(0.37242))(0.28538))(x1)) | Numero de nos: 29 | Erro: 432978505236480.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(*(*(x1)(+(/(x1)(/(-(x1)(0.58580))(+(x1)(-(/(x1)(0.32667))(/(x1)(/(/(-(0.13163)(+(x1)(0.33637)))(0.44102))(0.74248)))))))(x1)))(x1)) | Numero de nos: 29 | Erro: 444335573172224.0000000000000000000000000 |
(*(*(/(0.06113)(0.74438))(/(*(-(0.24601)(/(/(0.94482)(+(+(-(x1)(x1))(x1))(x1)))(x1)))(+(-(+(x1)(0.67482))(x1))(0.59969)))(x1)))(x1)) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(-(/(x1)(+(x1)(+(*(/(/(x1)(0.35575))(/(0.95108)(0.31806)))(+(0.35029)(+(+(0.28422)(0.46550))(0.63967))))(*(+(-(0.83172)(0.81347))(x1))(x1)))))(0.84274)) | Numero de nos: 29 | Erro: 434176767557632.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(*(0.14283)(+(*(*(+(0.07291)(+(*(-(/(+(/(0.41710)(0.27924))(/(*(x1)(+(0.80550)(0.02625)))(x1)))(x1))(0.28211))(x1))(x1)))(0.19236))(0.47362))(0.11042))) | Numero de nos: 29 | Erro: 434176566231040.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(+(x1)(/(0.49702)(*(0.28352)(/(0.40300)(-(0.57219)(*(/(0.74044)(-(*(-(x1)(*(/(0.53734)(x1))(x1)))(x1))(*(0.32441)(+(0.98999)(0.41276)))))(0.20563))))))) | Numero de nos: 29 | Erro: 434176297795584.0000000000000000000000000 |
(*(+(*(/(0.11896)(-(+(*(*(*(*(*(/(0.61598)(0.86389))(x1))(0.86672))(+(-(0.82891)(x1))(0.72073)))(0.64864))(0.32365))(0.39546))(x1)))(0.03928))(x1))(0.47105)) | Numero de nos: 29 | Erro: 434176734003200.0000000000000000000000000 |
(*(+(0.25605)(-(/(/(0.33274)(+(0.28257)(/(-(x1)(+(-(+(x1)(*(0.77135)(-(x1)(*(0.10334)(x1)))))(x1))(0.66930)))(x1))))(0.23948))(0.97461)))(x1)) | Numero de nos: 29 | Erro: 434176532676608.0000000000000000000000000 |
(+(-(/(*(+(+(/(x1)(x1))(+(-(/(-(/(+(*(0.70727)(x1))(x1))(0.25666))(0.68529))(x1))(x1))(0.59749)))(x1))(x1))(x1))(0.73620))(x1)) | Numero de nos: 29 | Erro: 434175022727168.0000000000000000000000000 |
(/(-(+(0.71844)(-(+(+(/(0.93686)(0.28748))(-(0.72634)(+(x1)(/(-(/(-(*(0.29588)(0.41926))(x1))(0.80047))(x1))(x1)))))(x1))(x1)))(x1))(0.76492)) | Numero de nos: 29 | Erro: 434173378560000.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(0.30641) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(-(*(/(+(x1)(+(-(/(/(x1)(-(/(0.97790)(*(+(*(0.16703)(0.99811))(0.54677))(0.72683)))(0.99734)))(x1))(0.86755))(x1)))(x1))(x1))(0.18479))(x1)) | Numero de nos: 29 | Erro: 433283783458816.0000000000000000000000000 |
(+(*(-(*(-(x1)(/(-(+(0.51476)(x1))(/(/(x1)(/(+(-(-(x1)(x1))(0.81280))(0.88382))(0.06659)))(x1)))(x1)))(x1))(0.02048))(0.89456))(x1)) | Numero de nos: 29 | Erro: 433777067163648.0000000000000000000000000 |
(0.88238) | Numero de nos: 1 | Erro: 434176398458880.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(/(-(+(x1)(+(-(*(/(-(0.54253)(0.07602))(0.08991))(*(x1)(+(/(x1)(+(/(x1)(-(0.99789)(0.50508)))(x1)))(x1))))(0.75503))(0.52858)))(0.27717))(x1)) | Numero de nos: 29 | Erro: 434177807745024.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(0.37629) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(0.59523) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(*(*(+(0.64232)(-(-(/(/(/(x1)(x1))(/(+(+(+(+(/(0.24757)(x1))(x1))(x1))(x1))(0.40892))(0.34168)))(x1))(0.32389))(0.43672)))(x1))(x1)) | Numero de nos: 29 | Erro: 434229380907008.0000000000000000000000000 |
(*(x1)(/(0.86880)(0.74703))) | Numero de nos: 5 | Erro: 434177002438656.0000000000000000000000000 |
(/(0.15162)(0.73119)) | Numero de nos: 3 | Erro: 434176599785472.0000000000000000000000000 |
(0.37556) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(-(/(*(x1)(0.08292))(/(0.57417)(+(*(/(/(-(*(/(+(0.06388)(-(/(x1)(x1))(x1)))(0.55449))(x1))(0.08939))(0.65593))(x1))(x1))(x1))))(x1)) | Numero de nos: 29 | Erro: 433515543920640.0000000000000000000000000 |
(0.59288) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(+(0.96631)(-(0.11942)(x1))) | Numero de nos: 5 | Erro: 434175962251264.0000000000000000000000000 |
(/(-(x1)(0.16187))(/(*(/(/(*(*(0.96148)(/(*(-(0.80593)(0.75820))(x1))(-(+(/(x1)(0.30610))(x1))(x1))))(0.13413))(0.07129))(0.44856))(0.07434))(0.44206))) | Numero de nos: 29 | Erro: 434219348131840.0000000000000000000000000 |
(/(/(+(x1)(0.76849))(-(0.89627)(x1)))(/(-(x1)(0.92917))(-(x1)(0.73235)))) | Numero de nos: 15 | Erro: 434176801112064.0000000000000000000000000 |
(+(/(*(0.62374)(x1))(-(0.70904)(0.23548)))(+(-(0.48344)(0.35758))(-(x1)(0.72176)))) | Numero de nos: 15 | Erro: 434177539309568.0000000000000000000000000 |
(/(/(+(x1)(x1))(/(x1)(x1)))(-(*(0.90902)(0.58702))(*(0.57247)(x1)))) | Numero de nos: 15 | Erro: 434177472200704.0000000000000000000000000 |
(+(+(*(0.88507)(x1))(+(0.53365)(0.79620)))(-(-(x1)(x1))(+(x1)(0.64391)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(*(-(*(0.86477)(0.60836))(*(0.28620)(x1)))(-(-(0.49763)(x1))(-(x1)(0.33552)))) | Numero de nos: 15 | Erro: 433920344588288.0000000000000000000000000 |
(+(*(*(x1)(0.82376))(/(0.83300)(x1)))(/(/(0.66179)(0.52000))(/(x1)(0.53764)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(+(*(-(0.88733)(x1))(*(x1)(0.13337)))(-(*(x1)(0.63128))(*(0.34132)(0.71172)))) | Numero de nos: 15 | Erro: 434236460892160.0000000000000000000000000 |
(-(/(+(x1)(x1))(/(x1)(x1)))(/(+(x1)(0.69353))(+(0.27897)(x1)))) | Numero de nos: 15 | Erro: 434177572864000.0000000000000000000000000 |
(+(-(+(0.04172)(0.13410))(-(0.94610)(0.66784)))(-(-(0.05396)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176465567744.0000000000000000000000000 |
(-(-(/(x1)(0.93835))(*(x1)(x1)))(/(*(0.13056)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434623712591872.0000000000000000000000000 |
(+(+(/(0.93463)(0.00287))(/(0.04337)(0.06342)))(-(/(x1)(0.93597))(-(0.62374)(x1)))) | Numero de nos: 15 | Erro: 434095934930944.0000000000000000000000000 |
(+(-(-(0.52876)(0.23923))(*(0.97812)(0.77142)))(+(-(0.73092)(0.81478))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176734003200.0000000000000000000000000 |
(-(*(-(0.50478)(x1))(-(x1)(x1)))(/(*(0.63076)(0.51112))(*(x1)(0.11979)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(-(*(x1)(0.03098))(/(0.59273)(0.97125)))(-(*(x1)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434623242829824.0000000000000000000000000 |
(-(+(+(0.08029)(0.68627))(-(x1)(x1)))(-(+(0.38874)(x1))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434175895142400.0000000000000000000000000 |
(/(-(*(0.59163)(x1))(-(0.07630)(x1)))(+(-(x1)(0.83285))(/(x1)(0.66481)))) | Numero de nos: 15 | Erro: 434176499122176.0000000000000000000000000 |
(+(+(/(0.30000)(0.67962))(*(0.51454)(0.54448)))(*(*(x1)(x1))(/(0.89325)(x1)))) | Numero de nos: 15 | Erro: 434176734003200.0000000000000000000000000 |
(/(-(+(0.32060)(0.81698))(-(x1)(0.30500)))(+(+(0.51567)(0.87295))(-(0.24177)(0.74428)))) | Numero de nos: 15 | Erro: 434175828033536.0000000000000000000000000 |
(-(/(-(0.24763)(0.26801))(/(0.77709)(x1)))(-(/(0.43748)(0.22233))(/(x1)(0.81149)))) | Numero de nos: 15 | Erro: 434177505755136.0000000000000000000000000 |
(+(+(-(0.37611)(0.30732))(/(0.66286)(x1)))(+(+(x1)(0.10672))(+(x1)(0.43477)))) | Numero de nos: 15 | Erro: 434177136656384.0000000000000000000000000 |
(*(/(+(0.21113)(x1))(+(0.17896)(x1)))(/(-(x1)(0.50053))(*(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(*(/(*(0.02164)(0.59093))(*(x1)(0.96933)))(*(-(0.67852)(x1))(/(0.38835)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(+(+(+(0.09394)(0.41823))(*(0.74648)(0.36714)))(-(-(0.05448)(x1))(+(0.92581)(0.29768)))) | Numero de nos: 15 | Erro: 434176297795584.0000000000000000000000000 |
(-(/(-(x1)(0.47713))(-(0.13285)(x1)))(+(+(0.33445)(x1))(+(0.53664)(x1)))) | Numero de nos: 15 | Erro: 434176364904448.0000000000000000000000000 |
(/(/(*(x1)(x1))(*(x1)(0.56108)))(*(*(0.87811)(0.57692))(+(0.44282)(0.53917)))) | Numero de nos: 15 | Erro: 434177874853888.0000000000000000000000000 |
(/(+(*(0.10154)(x1))(+(x1)(x1)))(/(/(x1)(0.36698))(/(x1)(x1)))) | Numero de nos: 15 | Erro: 434176398458880.0000000000000000000000000 |
(*(-(-(x1)(x1))(/(x1)(0.46638)))(*(-(x1)(x1))(/(x1)(0.95770)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(*(-(-(x1)(x1))(*(x1)(x1)))(*(/(x1)(x1))(*(x1)(0.12854)))) | Numero de nos: 15 | Erro: 434036744912896.0000000000000000000000000 |
(*(/(/(0.87866)(x1))(*(x1)(x1)))(+(-(0.23008)(x1))(-(0.75072)(0.13398)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(/(/(x1)(0.82479))(/(x1)(x1)))(/(-(0.44926)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434177035993088.0000000000000000000000000 |
(+(+(-(x1)(0.69671))(-(x1)(x1)))(/(/(0.87466)(x1))(*(0.76485)(x1)))) | Numero de nos: 15 | Erro: 434177069547520.0000000000000000000000000 |
(+(/(*(0.18107)(0.57280))(-(0.97998)(0.82083)))(-(*(0.32249)(x1))(/(0.29374)(0.75546)))) | Numero de nos: 15 | Erro: 434176700448768.0000000000000000000000000 |
(*(*(/(0.53124)(x1))(*(x1)(0.68358)))(+(*(0.86224)(x1))(/(0.48939)(0.79318)))) | Numero de nos: 15 | Erro: 434176700448768.0000000000000000000000000 |
(*(/(-(0.43492)(x1))(/(0.44859)(x1)))(/(/(0.29432)(0.13672))(+(x1)(x1)))) | Numero de nos: 15 | Erro: 434175526043648.0000000000000000000000000 |
(-(/(/(x1)(x1))(+(0.03500)(0.06879)))(/(/(x1)(x1))(*(x1)(0.28877)))) | Numero de nos: 15 | Erro: 434174217420800.0000000000000000000000000 |
(*(*(*(x1)(x1))(*(0.98605)(x1)))(*(*(x1)(x1))(-(x1)(x1)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(-(+(/(x1)(x1))(*(x1)(0.64067)))(*(/(x1)(0.79330))(+(x1)(0.44536)))) | Numero de nos: 15 | Erro: 434739643154432.0000000000000000000000000 |
(/(-(/(x1)(x1))(/(x1)(x1)))(-(/(0.09320)(0.78683))(/(x1)(0.68425)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(/(-(+(0.60225)(x1))(+(0.53313)(0.80615)))(*(-(0.40138)(0.73733))(/(0.70269)(x1)))) | Numero de nos: 15 | Erro: 436072156758016.0000000000000000000000000 |
(-(*(+(x1)(0.64421))(*(x1)(x1)))(*(+(x1)(x1))(-(0.36314)(0.79028)))) | Numero de nos: 15 | Erro: 435228397010944.0000000000000000000000000 |
(+(-(/(x1)(x1))(/(x1)(0.63897)))(+(-(0.11673)(x1))(/(0.83132)(0.07447)))) | Numero de nos: 15 | Erro: 434172606808064.0000000000000000000000000 |
(/(/(-(x1)(x1))(/(x1)(0.72936)))(/(/(0.57253)(x1))(*(x1)(0.05802)))) | Numero de nos: 15 | Erro: 434176633339904.0000000000000000000000000 |
(*(/(-(x1)(0.93020))(+(x1)(x1)))(+(*(x1)(0.93356))(-(0.04663)(0.91229)))) | Numero de nos: 15 | Erro: 434176968884224.0000000000000000000000000 |
