/*-----------------------------------------------------------------
* NUMERO INDIVIDUOS: 100 	 CROSS-OVER: 0.90
* NUMERO GERACOES  : 1000 	 MUTACAO   : 0.40
* NUM MAXIMO NOS   : 30 	 ELITISMO  : 0.05
* PROFUNDIDADE MAX : 3 	 
*-----------------------------------------------------------------*/
Seed 3: 
(+(*(+(-(0.71953)(*(-(-(+(/(/(-(x1)(*(0.72826)(0.25907)))(*(*(x1)(x1))(0.83227)))(0.21168))(0.95315))(x1))(0.90881))(0.85293)))(x1))(0.68954))(x1)) | Numero de nos: 29 | Erro: 434177304428544.0000000000000000000000000 |
(0.12406) | Numero de nos: 1 | Erro: 434176599785472.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(*(0.24085)(+(-(/(-(0.37809)(-(x1)(x1)))(+(/(*(+(-(+(0.56154)(x1))(x1))(x1))(-(*(0.17652)(x1))(0.96335)))(0.70254))(0.28355)))(x1))(x1))) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(*(-(0.33021)(-(+(0.75945)(x1))(0.96744)))(-(0.27268)(-(x1)(-(+(-(/(-(*(+(0.56679)(x1))(+(x1)(0.12641)))(0.14783))(0.48085))(0.38047))(x1))(0.32551))))) | Numero de nos: 29 | Erro: 432966291423232.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(/(/(*(x1)(x1))(-(-(0.66051)(/(-(/(+(0.66536)(x1))(+(*(0.12079)(+(+(+(0.37342)(x1))(x1))(x1)))(0.98801)))(0.53038))(x1)))(0.02792)))(0.82665)) | Numero de nos: 29 | Erro: 433324048777216.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(-(/(/(0.81930)(+(-(x1)(0.68102))(/(-(0.69863)(x1))(+(0.49596)(*(+(0.05228)(/(0.04971)(x1)))(+(x1)(+(0.01544)(/(x1)(x1)))))))))(0.87942))(x1)) | Numero de nos: 29 | Erro: 434176197132288.0000000000000000000000000 |
(/(+(x1)(+(0.61788)(-(x1)(0.68175))))(*(x1)(/(*(+(0.32383)(x1))(*(x1)(+(/(0.76464)(/(+(*(x1)(x1))(x1))(0.57814)))(x1))))(0.57408)))) | Numero de nos: 29 | Erro: 434176633339904.0000000000000000000000000 |
(-(+(x1)(/(x1)(-(/(/(-(/(x1)(/(x1)(-(x1)(*(*(x1)(0.32508))(+(+(0.89511)(x1))(0.10523))))))(x1))(0.56938))(x1))(x1))))(x1)) | Numero de nos: 29 | Erro: 434176734003200.0000000000000000000000000 |
(x1) | Numero de nos: 1 | Erro: 434176901775360.0000000000000000000000000 |
(0.37120) | Numero de nos: 1 | Erro: 434176499122176.0000000000000000000000000 |
(+(+(/(/(/(+(+(x1)(/(/(*(-(+(/(x1)(0.37925))(*(x1)(0.70885)))(x1))(x1))(x1))(0.95505)))(0.41661))(x1))(x1))(x1))(x1))(0.77776)) | Numero de nos: 29 | Erro: 434176767557632.0000000000000000000000000 |
